Locus.Tag	Source	Cluster.Information	Gene.Information	New_locus_tag
RUMHYD_00006	COG_category	[G] Carbohydrate transport and metabolism		RUMHYD_RS00025
RUMHYD_00008	COG_category	[G] Carbohydrate transport and metabolism		RUMHYD_RS00030
RUMHYD_00009	COG_category	[G] Carbohydrate transport and metabolism		RUMHYD_RS00035
RUMHYD_00010	COG_category	[R] General function prediction only		RUMHYD_RS00040
RUMHYD_00010	COG_category	[H] Coenzyme transport and metabolism		RUMHYD_RS00040
RUMHYD_00011	COG_category	[G] Carbohydrate transport and metabolism		RUMHYD_RS00045
RUMHYD_00012	COG_category	[G] Carbohydrate transport and metabolism		RUMHYD_RS17840
RUMHYD_00013	COG_category	[G] Carbohydrate transport and metabolism		RUMHYD_RS00055
RUMHYD_00014	COG_category	[G] Carbohydrate transport and metabolism		RUMHYD_RS00060
RUMHYD_00017	COG_category	[T] Signal transduction mechanisms		RUMHYD_RS00070
RUMHYD_00017	COG_category	[K] Transcription		RUMHYD_RS00070
RUMHYD_00018	COG_category	[M] Cell wall/membrane/envelope biogenesis		RUMHYD_RS00075
RUMHYD_00021	COG_category	[C] Energy production and conversion		RUMHYD_RS00090
RUMHYD_00022	COG_category	[H] Coenzyme transport and metabolism		RUMHYD_RS00095
RUMHYD_00023	COG_category	[S] Function unknown		RUMHYD_RS00100
RUMHYD_00024	COG_category	[M] Cell wall/membrane/envelope biogenesis		RUMHYD_RS00105
RUMHYD_00024	COG_category	[E] Amino acid transport and metabolism		RUMHYD_RS00105
RUMHYD_00025	COG_category	[R] General function prediction only		RUMHYD_RS00110
RUMHYD_00025	COG_category	[H] Coenzyme transport and metabolism		RUMHYD_RS00110
RUMHYD_00026	COG_category	[G] Carbohydrate transport and metabolism		RUMHYD_RS00115
RUMHYD_00027	COG_category	[R] General function prediction only		RUMHYD_RS00120
RUMHYD_00028	COG_category	[S] Function unknown		RUMHYD_RS00125
RUMHYD_00035	COG_category	[E] Amino acid transport and metabolism		RUMHYD_RS00145
RUMHYD_00037	COG_category	[C] Energy production and conversion		RUMHYD_RS00155
RUMHYD_00038	COG_category	[T] Signal transduction mechanisms		RUMHYD_RS00160
RUMHYD_00038	COG_category	[G] Carbohydrate transport and metabolism		RUMHYD_RS00160
RUMHYD_00039	COG_category	[L] Replication, recombination and repair		RUMHYD_RS00165
RUMHYD_00040	COG_category	[M] Cell wall/membrane/envelope biogenesis		RUMHYD_RS00170
RUMHYD_00042	COG_category	[R] General function prediction only		RUMHYD_RS00180
RUMHYD_00042	COG_category	[I] Lipid transport and metabolism		RUMHYD_RS00180
RUMHYD_00043	COG_category	[G] Carbohydrate transport and metabolism		RUMHYD_RS00185
RUMHYD_00044	COG_category	[L] Replication, recombination and repair		RUMHYD_RS00190
RUMHYD_00045	COG_category	[M] Cell wall/membrane/envelope biogenesis		RUMHYD_RS00195
RUMHYD_00047	COG_category	[R] General function prediction only		RUMHYD_RS00205
RUMHYD_00055	COG_category	[O] Posttranslational modification, protein turnover, chaperones		RUMHYD_RS00225
RUMHYD_00056	COG_category	[U] Intracellular trafficking, secretion, and vesicular transport		RUMHYD_RS00230
RUMHYD_00057	COG_category	[L] Replication, recombination and repair		RUMHYD_RS00235
RUMHYD_00058	COG_category	[F] Nucleotide transport and metabolism		RUMHYD_RS00240
RUMHYD_00059	COG_category	[K] Transcription		RUMHYD_RS00245
RUMHYD_00059	COG_category	[T] Signal transduction mechanisms		RUMHYD_RS00245
RUMHYD_00060	COG_category	[R] General function prediction only		RUMHYD_RS00250
RUMHYD_00061	COG_category	[H] Coenzyme transport and metabolism		RUMHYD_RS00255
RUMHYD_00063	COG_category	[J] Translation, ribosomal structure and biogenesis		RUMHYD_RS00265
RUMHYD_00064	COG_category	[J] Translation, ribosomal structure and biogenesis		RUMHYD_RS00270
RUMHYD_00067	COG_category	[V] Defense mechanisms		RUMHYD_RS00280
RUMHYD_00067	COG_category	[M] Cell wall/membrane/envelope biogenesis		RUMHYD_RS00280
RUMHYD_00068	COG_category	[M] Cell wall/membrane/envelope biogenesis		RUMHYD_RS00285
RUMHYD_00070	COG_category	[V] Defense mechanisms		RUMHYD_RS00295
RUMHYD_00072	COG_category	[T] Signal transduction mechanisms		RUMHYD_RS17405
RUMHYD_00073	COG_category	[G] Carbohydrate transport and metabolism		RUMHYD_RS00305
RUMHYD_00075	COG_category	[K] Transcription		RUMHYD_RS00315
RUMHYD_00075	COG_category	[T] Signal transduction mechanisms		RUMHYD_RS00315
RUMHYD_00076	COG_category	[M] Cell wall/membrane/envelope biogenesis		RUMHYD_RS00320
RUMHYD_00077	COG_category	[M] Cell wall/membrane/envelope biogenesis		RUMHYD_RS00325
RUMHYD_00078	COG_category	[M] Cell wall/membrane/envelope biogenesis		RUMHYD_RS00330
RUMHYD_00080	COG_category	[M] Cell wall/membrane/envelope biogenesis		RUMHYD_RS00340
RUMHYD_00082	COG_category	[H] Coenzyme transport and metabolism		RUMHYD_RS00350
RUMHYD_00084	COG_category	[M] Cell wall/membrane/envelope biogenesis		RUMHYD_RS00360
RUMHYD_00088	COG_category	[M] Cell wall/membrane/envelope biogenesis		RUMHYD_RS00380
RUMHYD_00089	COG_category	[M] Cell wall/membrane/envelope biogenesis		RUMHYD_RS00385
RUMHYD_00090	COG_category	[C] Energy production and conversion		RUMHYD_RS00390
RUMHYD_00094	COG_category	[M] Cell wall/membrane/envelope biogenesis		RUMHYD_RS00410
RUMHYD_00095	COG_category	[M] Cell wall/membrane/envelope biogenesis		RUMHYD_RS00415
RUMHYD_00097	COG_category	[M] Cell wall/membrane/envelope biogenesis		RUMHYD_RS00425
RUMHYD_00098	COG_category	[M] Cell wall/membrane/envelope biogenesis		RUMHYD_RS00430
RUMHYD_00105	COG_category	[M] Cell wall/membrane/envelope biogenesis		RUMHYD_RS00455
RUMHYD_00106	COG_category	[I] Lipid transport and metabolism		RUMHYD_RS00460
RUMHYD_00109	COG_category	[M] Cell wall/membrane/envelope biogenesis		RUMHYD_RS00475
RUMHYD_00110	COG_category	[M] Cell wall/membrane/envelope biogenesis		NA
RUMHYD_00116	COG_category	[M] Cell wall/membrane/envelope biogenesis		RUMHYD_RS00505
RUMHYD_00119	COG_category	[M] Cell wall/membrane/envelope biogenesis		RUMHYD_RS00520
RUMHYD_00121	COG_category	[M] Cell wall/membrane/envelope biogenesis		NA
RUMHYD_00124	COG_category	[E] Amino acid transport and metabolism		RUMHYD_RS00545
RUMHYD_00125	COG_category	[E] Amino acid transport and metabolism		RUMHYD_RS00550
RUMHYD_00126	COG_category	[E] Amino acid transport and metabolism		RUMHYD_RS00555
RUMHYD_00127	COG_category	[E] Amino acid transport and metabolism		RUMHYD_RS00560
RUMHYD_00128	COG_category	[E] Amino acid transport and metabolism		RUMHYD_RS00565
RUMHYD_00128	COG_category	[M] Cell wall/membrane/envelope biogenesis		RUMHYD_RS00565
RUMHYD_00129	COG_category	[G] Carbohydrate transport and metabolism		RUMHYD_RS00570
RUMHYD_00130	COG_category	[E] Amino acid transport and metabolism		RUMHYD_RS00575
RUMHYD_00131	COG_category	[G] Carbohydrate transport and metabolism		RUMHYD_RS00580
RUMHYD_00133	COG_category	[P] Inorganic ion transport and metabolism		RUMHYD_RS00590
RUMHYD_00135	COG_category	[L] Replication, recombination and repair		RUMHYD_RS00595
RUMHYD_00139	COG_category	[E] Amino acid transport and metabolism		RUMHYD_RS00610
RUMHYD_00143	COG_category	[K] Transcription		RUMHYD_RS00620
RUMHYD_00144	COG_category	[C] Energy production and conversion		RUMHYD_RS00625
