Locus.Tag	Source	Cluster.Information	Gene.Information	New_locus_tag
ROSINTL182_05004	COG_category	[L] Replication, recombination and repair		ROSINTL182_RS00025
ROSINTL182_05006	COG_category	[K] Transcription		ROSINTL182_RS00035
ROSINTL182_05010	COG_category	[L] Replication, recombination and repair		ROSINTL182_RS00055
ROSINTL182_05012	COG_category	[K] Transcription		ROSINTL182_RS00065
ROSINTL182_05014	COG_category	[F] Nucleotide transport and metabolism		ROSINTL182_RS00075
ROSINTL182_05024	COG_category	[H] Coenzyme transport and metabolism		ROSINTL182_RS00115
ROSINTL182_05025	COG_category	[S] Function unknown		ROSINTL182_RS00120
ROSINTL182_05026	COG_category	[S] Function unknown		ROSINTL182_RS00125
ROSINTL182_05030	COG_category	[C] Energy production and conversion		ROSINTL182_RS00140
ROSINTL182_05031	COG_category	[C] Energy production and conversion		ROSINTL182_RS00145
ROSINTL182_05032	COG_category	[I] Lipid transport and metabolism		ROSINTL182_RS00150
ROSINTL182_05034	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS00160
ROSINTL182_05035	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS00165
ROSINTL182_05036	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS00170
ROSINTL182_05039	COG_category	[I] Lipid transport and metabolism		ROSINTL182_RS00185
ROSINTL182_05042	COG_category	[T] Signal transduction mechanisms		ROSINTL182_RS00200
ROSINTL182_05044	COG_category	[E] Amino acid transport and metabolism		ROSINTL182_RS00205
ROSINTL182_05044	COG_category	[F] Nucleotide transport and metabolism		ROSINTL182_RS00205
ROSINTL182_05045	COG_category	[F] Nucleotide transport and metabolism		ROSINTL182_RS00210
ROSINTL182_05045	COG_category	[E] Amino acid transport and metabolism		ROSINTL182_RS00210
ROSINTL182_05048	COG_category	[P] Inorganic ion transport and metabolism		ROSINTL182_RS00215
ROSINTL182_05050	COG_category	[E] Amino acid transport and metabolism		ROSINTL182_RS00225
ROSINTL182_05051	COG_category	[R] General function prediction only		ROSINTL182_RS00230
ROSINTL182_05052	COG_category	[S] Function unknown		ROSINTL182_RS00235
ROSINTL182_05054	COG_category	[O] Posttranslational modification, protein turnover, chaperones		ROSINTL182_RS00245
ROSINTL182_05056	COG_category	[J] Translation, ribosomal structure and biogenesis		ROSINTL182_RS00255
ROSINTL182_05057	COG_category	[S] Function unknown		ROSINTL182_RS00260
ROSINTL182_05058	COG_category	[O] Posttranslational modification, protein turnover, chaperones		ROSINTL182_RS00265
ROSINTL182_05059	COG_category	[D] Cell cycle control, cell division, chromosome partitioning		ROSINTL182_RS00270
ROSINTL182_05060	COG_category	[D] Cell cycle control, cell division, chromosome partitioning		ROSINTL182_RS00275
ROSINTL182_05061	COG_category	[D] Cell cycle control, cell division, chromosome partitioning		ROSINTL182_RS00280
ROSINTL182_05063	COG_category	[S] Function unknown		ROSINTL182_RS00290
ROSINTL182_05064	COG_category	[M] Cell wall/membrane/envelope biogenesis		ROSINTL182_RS00295
ROSINTL182_05065	COG_category	[T] Signal transduction mechanisms		ROSINTL182_RS00300
ROSINTL182_05068	COG_category	[M] Cell wall/membrane/envelope biogenesis		ROSINTL182_RS00315
ROSINTL182_05070	COG_category	[V] Defense mechanisms		ROSINTL182_RS00330
ROSINTL182_05071	COG_category	[R] General function prediction only		ROSINTL182_RS00335
ROSINTL182_05072	COG_category	[I] Lipid transport and metabolism		ROSINTL182_RS00340
ROSINTL182_05074	COG_category	[R] General function prediction only		ROSINTL182_RS00350
ROSINTL182_05076	COG_category	[M] Cell wall/membrane/envelope biogenesis		ROSINTL182_RS00355
ROSINTL182_05080	COG_category	[S] Function unknown		ROSINTL182_RS00365
ROSINTL182_05088	COG_category	[S] Function unknown		ROSINTL182_RS00400
ROSINTL182_05090	COG_category	[L] Replication, recombination and repair		ROSINTL182_RS00410
ROSINTL182_05092	COG_category	[P] Inorganic ion transport and metabolism		ROSINTL182_RS00420
ROSINTL182_05093	COG_category	[E] Amino acid transport and metabolism		ROSINTL182_RS00425
ROSINTL182_05093	COG_category	[T] Signal transduction mechanisms		ROSINTL182_RS00425
ROSINTL182_05095	COG_category	[E] Amino acid transport and metabolism		ROSINTL182_RS00430
ROSINTL182_05096	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS00435
ROSINTL182_05097	COG_category	[R] General function prediction only		ROSINTL182_RS00440
ROSINTL182_05097	COG_category	[I] Lipid transport and metabolism		ROSINTL182_RS00440
ROSINTL182_05098	COG_category	[T] Signal transduction mechanisms		ROSINTL182_RS00445
ROSINTL182_05098	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS00445
ROSINTL182_05099	COG_category	[K] Transcription		ROSINTL182_RS00450
ROSINTL182_05100	COG_category	[T] Signal transduction mechanisms		ROSINTL182_RS00455
ROSINTL182_05101	COG_category	[M] Cell wall/membrane/envelope biogenesis		ROSINTL182_RS00460
ROSINTL182_05102	COG_category	[E] Amino acid transport and metabolism		ROSINTL182_RS00465
ROSINTL182_05103	COG_category	[T] Signal transduction mechanisms		ROSINTL182_RS00470
ROSINTL182_05104	COG_category	[L] Replication, recombination and repair		ROSINTL182_RS00475
ROSINTL182_05109	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS00500
ROSINTL182_05110	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS00505
ROSINTL182_05111	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS00510
ROSINTL182_05113	COG_category	[S] Function unknown		ROSINTL182_RS00515
ROSINTL182_05115	COG_category	[E] Amino acid transport and metabolism		ROSINTL182_RS00525
ROSINTL182_05116	COG_category	[E] Amino acid transport and metabolism		ROSINTL182_RS00530
ROSINTL182_05117	COG_category	[E] Amino acid transport and metabolism		ROSINTL182_RS00535
ROSINTL182_05119	COG_category	[K] Transcription		ROSINTL182_RS00540
ROSINTL182_05122	COG_category	[R] General function prediction only		ROSINTL182_RS00555
ROSINTL182_05123	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS00560
ROSINTL182_05124	COG_category	[J] Translation, ribosomal structure and biogenesis		ROSINTL182_RS00565
ROSINTL182_05125	COG_category	[T] Signal transduction mechanisms		ROSINTL182_RS00570
ROSINTL182_05126	COG_category	[F] Nucleotide transport and metabolism		ROSINTL182_RS00575
ROSINTL182_05127	COG_category	[F] Nucleotide transport and metabolism		ROSINTL182_RS00580
ROSINTL182_05131	COG_category	[C] Energy production and conversion		ROSINTL182_RS00595
ROSINTL182_05132	COG_category	[C] Energy production and conversion		ROSINTL182_RS00600
ROSINTL182_05133	COG_category	[C] Energy production and conversion		ROSINTL182_RS00605
ROSINTL182_05134	COG_category	[C] Energy production and conversion		ROSINTL182_RS00610
ROSINTL182_05135	COG_category	[C] Energy production and conversion		ROSINTL182_RS00615
ROSINTL182_05136	COG_category	[C] Energy production and conversion		ROSINTL182_RS00620
ROSINTL182_05137	COG_category	[C] Energy production and conversion		ROSINTL182_RS00625
ROSINTL182_05138	COG_category	[C] Energy production and conversion		ROSINTL182_RS00630
ROSINTL182_05139	COG_category	[V] Defense mechanisms		ROSINTL182_RS00635
ROSINTL182_05148	COG_category	[X] Mobilome: prophages, transposons		ROSINTL182_RS00675
ROSINTL182_05152	COG_category	[E] Amino acid transport and metabolism		ROSINTL182_RS00695
ROSINTL182_05153	COG_category	[S] Function unknown		ROSINTL182_RS00700
ROSINTL182_05160	COG_category	[C] Energy production and conversion		ROSINTL182_RS00730
ROSINTL182_05163	COG_category	[K] Transcription		ROSINTL182_RS00735
ROSINTL182_05164	COG_category	[I] Lipid transport and metabolism		ROSINTL182_RS00740
ROSINTL182_05165	COG_category	[I] Lipid transport and metabolism		ROSINTL182_RS00745
ROSINTL182_05166	COG_category	[I] Lipid transport and metabolism		ROSINTL182_RS00750
ROSINTL182_05167	COG_category	[Q] Secondary metabolites biosynthesis, transport and catabolism		ROSINTL182_RS00755
ROSINTL182_05167	COG_category	[I] Lipid transport and metabolism		ROSINTL182_RS00755
ROSINTL182_05168	COG_category	[I] Lipid transport and metabolism		ROSINTL182_RS00760
ROSINTL182_05168	COG_category	[Q] Secondary metabolites biosynthesis, transport and catabolism		ROSINTL182_RS00760
ROSINTL182_05168	COG_category	[R] General function prediction only		ROSINTL182_RS00760
ROSINTL182_05169	COG_category	[I] Lipid transport and metabolism		ROSINTL182_RS00765
ROSINTL182_05170	COG_category	[R] General function prediction only		ROSINTL182_RS00770
ROSINTL182_05171	COG_category	[I] Lipid transport and metabolism		ROSINTL182_RS00775
ROSINTL182_05171	COG_category	[Q] Secondary metabolites biosynthesis, transport and catabolism		ROSINTL182_RS00775
ROSINTL182_05172	COG_category	[L] Replication, recombination and repair		ROSINTL182_RS00780
ROSINTL182_05175	COG_category	[O] Posttranslational modification, protein turnover, chaperones		ROSINTL182_RS00790
ROSINTL182_05176	COG_category	[H] Coenzyme transport and metabolism		ROSINTL182_RS00795
ROSINTL182_05177	COG_category	[H] Coenzyme transport and metabolism		ROSINTL182_RS00800
ROSINTL182_05179	COG_category	[O] Posttranslational modification, protein turnover, chaperones		ROSINTL182_RS00810
ROSINTL182_05180	COG_category	[P] Inorganic ion transport and metabolism		ROSINTL182_RS00815
ROSINTL182_05181	COG_category	[E] Amino acid transport and metabolism		ROSINTL182_RS00820
ROSINTL182_05182	COG_category	[V] Defense mechanisms		ROSINTL182_RS00825
ROSINTL182_05183	COG_category	[K] Transcription		ROSINTL182_RS00830
ROSINTL182_05185	COG_category	[F] Nucleotide transport and metabolism		ROSINTL182_RS00840
ROSINTL182_05186	COG_category	[V] Defense mechanisms		ROSINTL182_RS00845
ROSINTL182_05189	COG_category	[X] Mobilome: prophages, transposons		ROSINTL182_RS00860
ROSINTL182_05191	COG_category	[L] Replication, recombination and repair		ROSINTL182_RS00870
ROSINTL182_05198	COG_category	[R] General function prediction only		ROSINTL182_RS00905
ROSINTL182_05201	COG_category	[K] Transcription		ROSINTL182_RS00920
ROSINTL182_05202	COG_category	[J] Translation, ribosomal structure and biogenesis		ROSINTL182_RS00925
ROSINTL182_05203	COG_category	[K] Transcription		ROSINTL182_RS00930
ROSINTL182_05205	COG_category	[J] Translation, ribosomal structure and biogenesis		ROSINTL182_RS00940
ROSINTL182_05206	COG_category	[H] Coenzyme transport and metabolism		ROSINTL182_RS00945
ROSINTL182_05208	COG_category	[H] Coenzyme transport and metabolism		ROSINTL182_RS00955
ROSINTL182_05209	COG_category	[E] Amino acid transport and metabolism		ROSINTL182_RS00960
ROSINTL182_05210	COG_category	[O] Posttranslational modification, protein turnover, chaperones		ROSINTL182_RS00965
ROSINTL182_05212	COG_category	[R] General function prediction only		ROSINTL182_RS00975
ROSINTL182_05214	COG_category	[H] Coenzyme transport and metabolism		ROSINTL182_RS00985
ROSINTL182_05214	COG_category	[R] General function prediction only		ROSINTL182_RS00985
ROSINTL182_05214	COG_category	[C] Energy production and conversion		ROSINTL182_RS00985
ROSINTL182_05215	COG_category	[I] Lipid transport and metabolism		ROSINTL182_RS00990
ROSINTL182_05216	COG_category	[O] Posttranslational modification, protein turnover, chaperones		ROSINTL182_RS00995
ROSINTL182_05218	COG_category	[M] Cell wall/membrane/envelope biogenesis		ROSINTL182_RS01005
ROSINTL182_05221	COG_category	[H] Coenzyme transport and metabolism		ROSINTL182_RS01015
ROSINTL182_05223	COG_category	[M] Cell wall/membrane/envelope biogenesis		ROSINTL182_RS01025
ROSINTL182_05224	COG_category	[T] Signal transduction mechanisms		ROSINTL182_RS01030
ROSINTL182_05225	COG_category	[T] Signal transduction mechanisms		ROSINTL182_RS01035
ROSINTL182_05225	COG_category	[K] Transcription		ROSINTL182_RS01035
ROSINTL182_05226	COG_category	[E] Amino acid transport and metabolism		ROSINTL182_RS01040
ROSINTL182_05229	COG_category	[M] Cell wall/membrane/envelope biogenesis		ROSINTL182_RS01055
ROSINTL182_05230	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS01060
ROSINTL182_05230	COG_category	[F] Nucleotide transport and metabolism		ROSINTL182_RS01060
ROSINTL182_05230	COG_category	[R] General function prediction only		ROSINTL182_RS01060
ROSINTL182_05232	COG_category	[O] Posttranslational modification, protein turnover, chaperones		ROSINTL182_RS01070
ROSINTL182_05233	COG_category	[T] Signal transduction mechanisms		ROSINTL182_RS01075
ROSINTL182_05240	COG_category	[W] Extracellular structures		ROSINTL182_RS01110
ROSINTL182_05240	COG_category	[U] Intracellular trafficking, secretion, and vesicular transport		ROSINTL182_RS01110
ROSINTL182_05241	COG_category	[U] Intracellular trafficking, secretion, and vesicular transport		ROSINTL182_RS01115
ROSINTL182_05241	COG_category	[W] Extracellular structures		ROSINTL182_RS01115
ROSINTL182_05246	COG_category	[U] Intracellular trafficking, secretion, and vesicular transport		ROSINTL182_RS01135
ROSINTL182_05246	COG_category	[N] Cell motility		ROSINTL182_RS01135
ROSINTL182_05247	COG_category	[N] Cell motility		ROSINTL182_RS01140
ROSINTL182_05250	COG_category	[N] Cell motility		ROSINTL182_RS01150
ROSINTL182_05250	COG_category	[K] Transcription		ROSINTL182_RS01150
ROSINTL182_05250	COG_category	[T] Signal transduction mechanisms		ROSINTL182_RS01150
ROSINTL182_05254	COG_category	[D] Cell cycle control, cell division, chromosome partitioning		ROSINTL182_RS01170
ROSINTL182_05255	COG_category	[M] Cell wall/membrane/envelope biogenesis		ROSINTL182_RS01175
ROSINTL182_05257	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS01185
ROSINTL182_05259	COG_category	[R] General function prediction only		ROSINTL182_RS01195
ROSINTL182_05260	COG_category	[C] Energy production and conversion		ROSINTL182_RS01200
ROSINTL182_05261	COG_category	[T] Signal transduction mechanisms		ROSINTL182_RS01205
ROSINTL182_05262	COG_category	[T] Signal transduction mechanisms		ROSINTL182_RS01210
ROSINTL182_05262	COG_category	[K] Transcription		ROSINTL182_RS01210
ROSINTL182_05264	COG_category	[M] Cell wall/membrane/envelope biogenesis		ROSINTL182_RS01215
ROSINTL182_05267	COG_category	[V] Defense mechanisms		ROSINTL182_RS01230
ROSINTL182_05267	COG_category	[F] Nucleotide transport and metabolism		ROSINTL182_RS01230
ROSINTL182_05268	COG_category	[T] Signal transduction mechanisms		ROSINTL182_RS01235
ROSINTL182_05268	COG_category	[N] Cell motility		ROSINTL182_RS01235
ROSINTL182_05269	COG_category	[J] Translation, ribosomal structure and biogenesis		ROSINTL182_RS01240
ROSINTL182_05270	COG_category	[V] Defense mechanisms		ROSINTL182_RS01245
ROSINTL182_05270	COG_category	[F] Nucleotide transport and metabolism		ROSINTL182_RS01245
ROSINTL182_05271	COG_category	[P] Inorganic ion transport and metabolism		ROSINTL182_RS01250
ROSINTL182_05272	COG_category	[P] Inorganic ion transport and metabolism		ROSINTL182_RS01255
ROSINTL182_05273	COG_category	[P] Inorganic ion transport and metabolism		ROSINTL182_RS01260
