Locus.Tag	Source	Cluster.Information	Gene.Information	New_locus_tag
FAEPRAA2165_00004	COG_category	[R] General function prediction only		FAEPRAA2165_RS00020
FAEPRAA2165_00005	COG_category	[J] Translation, ribosomal structure and biogenesis		FAEPRAA2165_RS00025
FAEPRAA2165_00008	COG_category	[O] Posttranslational modification, protein turnover, chaperones		FAEPRAA2165_RS00035
FAEPRAA2165_00010	COG_category	[G] Carbohydrate transport and metabolism		FAEPRAA2165_RS00040
FAEPRAA2165_00012	COG_category	[K] Transcription		FAEPRAA2165_RS00050
FAEPRAA2165_00013	COG_category	[E] Amino acid transport and metabolism		FAEPRAA2165_RS00055
FAEPRAA2165_00014	COG_category	[E] Amino acid transport and metabolism		FAEPRAA2165_RS00060
FAEPRAA2165_00015	COG_category	[E] Amino acid transport and metabolism		FAEPRAA2165_RS00065
FAEPRAA2165_00016	COG_category	[E] Amino acid transport and metabolism		FAEPRAA2165_RS00070
FAEPRAA2165_00017	COG_category	[E] Amino acid transport and metabolism		FAEPRAA2165_RS00075
FAEPRAA2165_00018	COG_category	[E] Amino acid transport and metabolism		FAEPRAA2165_RS00080
FAEPRAA2165_00019	COG_category	[E] Amino acid transport and metabolism		FAEPRAA2165_RS00085
FAEPRAA2165_00020	COG_category	[E] Amino acid transport and metabolism		FAEPRAA2165_RS00090
FAEPRAA2165_00023	COG_category	[I] Lipid transport and metabolism		FAEPRAA2165_RS00100
FAEPRAA2165_00027	COG_category	[V] Defense mechanisms		FAEPRAA2165_RS00120
FAEPRAA2165_00028	COG_category	[S] Function unknown		FAEPRAA2165_RS00125
FAEPRAA2165_00029	COG_category	[R] General function prediction only		FAEPRAA2165_RS00130
FAEPRAA2165_00030	COG_category	[K] Transcription		FAEPRAA2165_RS00135
FAEPRAA2165_00031	COG_category	[R] General function prediction only		FAEPRAA2165_RS00140
FAEPRAA2165_00031	COG_category	[E] Amino acid transport and metabolism		FAEPRAA2165_RS00140
FAEPRAA2165_00033	COG_category	[G] Carbohydrate transport and metabolism		FAEPRAA2165_RS00145
FAEPRAA2165_00034	COG_category	[G] Carbohydrate transport and metabolism		NA
FAEPRAA2165_00041	COG_category	[E] Amino acid transport and metabolism		FAEPRAA2165_RS00170
FAEPRAA2165_00043	COG_category	[R] General function prediction only		FAEPRAA2165_RS00175
FAEPRAA2165_00043	COG_category	[M] Cell wall/membrane/envelope biogenesis		FAEPRAA2165_RS00175
FAEPRAA2165_00044	COG_category	[E] Amino acid transport and metabolism		FAEPRAA2165_RS00180
FAEPRAA2165_00053	COG_category	[U] Intracellular trafficking, secretion, and vesicular transport		FAEPRAA2165_RS00205
FAEPRAA2165_00059	COG_category	[L] Replication, recombination and repair		FAEPRAA2165_RS00235
FAEPRAA2165_00063	COG_category	[L] Replication, recombination and repair		FAEPRAA2165_RS00255
FAEPRAA2165_00064	COG_category	[L] Replication, recombination and repair		FAEPRAA2165_RS00260
FAEPRAA2165_00067	COG_category	[K] Transcription		FAEPRAA2165_RS00275
FAEPRAA2165_00085	COG_category	[T] Signal transduction mechanisms		FAEPRAA2165_RS00355
FAEPRAA2165_00085	COG_category	[K] Transcription		FAEPRAA2165_RS00355
FAEPRAA2165_00086	COG_category	[V] Defense mechanisms		FAEPRAA2165_RS00360
FAEPRAA2165_00088	COG_category	[T] Signal transduction mechanisms		FAEPRAA2165_RS00370
FAEPRAA2165_00092	COG_category	[L] Replication, recombination and repair		FAEPRAA2165_RS00390
FAEPRAA2165_00098	COG_category	[P] Inorganic ion transport and metabolism		FAEPRAA2165_RS00420
FAEPRAA2165_00099	COG_category	[P] Inorganic ion transport and metabolism		FAEPRAA2165_RS00425
FAEPRAA2165_00100	COG_category	[P] Inorganic ion transport and metabolism		FAEPRAA2165_RS00430
FAEPRAA2165_00102	COG_category	[P] Inorganic ion transport and metabolism		FAEPRAA2165_RS00435
