Species	Change	Locus_tag	COG_categories	COG_numbers	KO_numbers	COG_annotations
B. hydrogenotrophica	UP	RUMHYD_RS00280	[V] Defense mechanisms - [M] Cell wall/membrane/envelope biogenesis	COG0845	KO:K02005	Multidrug efflux pump subunit AcrA (membrane-fusion protein)
B. hydrogenotrophica	UP	RUMHYD_RS00290				
B. hydrogenotrophica	UP	RUMHYD_RS00905	[H] Coenzyme transport and metabolism	COG4822	KO:K02190	Cobalamin biosynthesis protein CbiK, Co2+ chelatase
B. hydrogenotrophica	UP	RUMHYD_RS00925	[P] Inorganic ion transport and metabolism	COG0310	KO:K02007	ABC-type Co2+ transport system, permease component
B. hydrogenotrophica	DOWN	RUMHYD_RS00995				
B. hydrogenotrophica	UP	RUMHYD_RS01415			KO:K00194	
B. hydrogenotrophica	UP	RUMHYD_RS02430	[C] Energy production and conversion	COG1883	KO:K01572	Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase, beta subunit
B. hydrogenotrophica	UP	RUMHYD_RS02445	[I] Lipid transport and metabolism	COG4799		Acetyl-CoA carboxylase, carboxyltransferase component
B. hydrogenotrophica	DOWN	RUMHYD_RS02540	[I] Lipid transport and metabolism	COG1502	KO:K06131	Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase or related enzyme
B. hydrogenotrophica	UP	RUMHYD_RS02845	[E] Amino acid transport and metabolism	COG0747	KO:K02035	ABC-type transport system, periplasmic component
B. hydrogenotrophica	UP	RUMHYD_RS02855	[P] Inorganic ion transport and metabolism - [E] Amino acid transport and metabolism	COG0601	KO:K02033	ABC-type dipeptide/oligopeptide/nickel transport system, permease component
B. hydrogenotrophica	UP	RUMHYD_RS03195	[G] Carbohydrate transport and metabolism	COG1080	KO:K08483	Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria)
B. hydrogenotrophica	UP	RUMHYD_RS03280	[E] Amino acid transport and metabolism - [C] Energy production and conversion	COG0473	KO:K00052	Isocitrate/isopropylmalate dehydrogenase
B. hydrogenotrophica	UP	RUMHYD_RS03295	[R] General function prediction only	COG3581		Predicted nucleotide-binding protein, sugar kinase/HSP70/actin superfamily
B. hydrogenotrophica	UP	RUMHYD_RS03320				
B. hydrogenotrophica	UP	RUMHYD_RS03350	[F] Nucleotide transport and metabolism	COG0504	KO:K01937	CTP synthase (UTP-ammonia lyase)
B. hydrogenotrophica	UP	RUMHYD_RS03355	[E] Amino acid transport and metabolism	COG0367	KO:K01953	Asparagine synthetase B (glutamine-hydrolyzing)
B. hydrogenotrophica	UP	RUMHYD_RS03360	[E] Amino acid transport and metabolism	COG3968	KO:K01915	Glutamine synthetase type III
B. hydrogenotrophica	UP	RUMHYD_RS03470	[T] Signal transduction mechanisms	COG0642		Signal transduction histidine kinase
B. hydrogenotrophica	UP	RUMHYD_RS03475				
B. hydrogenotrophica	UP	RUMHYD_RS03755	[M] Cell wall/membrane/envelope biogenesis	COG3409		Peptidoglycan-binding (PGRP) domain of peptidoglycan hydrolases
B. hydrogenotrophica	UP	RUMHYD_RS04855				
B. hydrogenotrophica	UP	RUMHYD_RS04890	[C] Energy production and conversion	COG0716		Flavodoxin
B. hydrogenotrophica	UP	RUMHYD_RS04895				
B. hydrogenotrophica	DOWN	RUMHYD_RS04970	[C] Energy production and conversion	COG0280	KO:K00634	Phosphotransacetylase
B. hydrogenotrophica	DOWN	RUMHYD_RS04980	[C] Energy production and conversion	COG1014	KO:K00180	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit
B. hydrogenotrophica	DOWN	RUMHYD_RS04990	[C] Energy production and conversion	COG3426	KO:K00929	Butyrate kinase
B. hydrogenotrophica	UP	RUMHYD_RS05315				
B. hydrogenotrophica	DOWN	RUMHYD_RS05660	[J] Translation, ribosomal structure and biogenesis	COG0102	KO:K02871	Ribosomal protein L13
B. hydrogenotrophica	DOWN	RUMHYD_RS06990				
B. hydrogenotrophica	UP	RUMHYD_RS07145	[K] Transcription	COG1802		DNA-binding transcriptional regulator, GntR family
B. hydrogenotrophica	DOWN	RUMHYD_RS07520	[Q] Secondary metabolites biosynthesis, transport and catabolism	COG3653	KO:K01465 - KO:K06015	N-acyl-D-aspartate/D-glutamate deacylase
B. hydrogenotrophica	UP	RUMHYD_RS07650	[G] Carbohydrate transport and metabolism	COG0149	KO:K01803	Triosephosphate isomerase
B. hydrogenotrophica	UP	RUMHYD_RS07735				
B. hydrogenotrophica	UP	RUMHYD_RS07745				
B. hydrogenotrophica	UP	RUMHYD_RS07760				
B. hydrogenotrophica	UP	RUMHYD_RS07780				
B. hydrogenotrophica	UP	RUMHYD_RS07790			KO:K07474	
B. hydrogenotrophica	UP	RUMHYD_RS07810				
B. hydrogenotrophica	UP	RUMHYD_RS07820				
B. hydrogenotrophica	UP	RUMHYD_RS07825				
B. hydrogenotrophica	UP	RUMHYD_RS07835				
B. hydrogenotrophica	UP	RUMHYD_RS07840				
B. hydrogenotrophica	UP	RUMHYD_RS07845				
B. hydrogenotrophica	UP	RUMHYD_RS07850				
B. hydrogenotrophica	UP	RUMHYD_RS07860				
B. hydrogenotrophica	UP	RUMHYD_RS07865				
B. hydrogenotrophica	UP	RUMHYD_RS07870				
B. hydrogenotrophica	UP	RUMHYD_RS07875				
B. hydrogenotrophica	UP	RUMHYD_RS07880				
B. hydrogenotrophica	UP	RUMHYD_RS07890				
B. hydrogenotrophica	UP	RUMHYD_RS07895				
B. hydrogenotrophica	UP	RUMHYD_RS07900				
B. hydrogenotrophica	UP	RUMHYD_RS07905				
B. hydrogenotrophica	UP	RUMHYD_RS07910				
B. hydrogenotrophica	UP	RUMHYD_RS07915				
B. hydrogenotrophica	UP	RUMHYD_RS07920				
B. hydrogenotrophica	UP	RUMHYD_RS07925				
B. hydrogenotrophica	UP	RUMHYD_RS07930				
B. hydrogenotrophica	UP	RUMHYD_RS07935				
B. hydrogenotrophica	UP	RUMHYD_RS07940	[X] Mobilome: prophages, transposons	COG5412		Phage-related protein
