Species	Change	Locus_tag	COG_categories	COG_numbers	KO_numbers	COG_annotations
F. prausnitzii	DOWN	FAEPRAA2165_RS00170	[E] Amino acid transport and metabolism	COG3633	KO:K07862	Na+/serine symporter
F. prausnitzii	DOWN	FAEPRAA2165_RS00185				
F. prausnitzii	UP	FAEPRAA2165_RS00435	[P] Inorganic ion transport and metabolism	COG0226	KO:K02040	ABC-type phosphate transport system, periplasmic component
F. prausnitzii	UP	FAEPRAA2165_RS00445				
F. prausnitzii	DOWN	FAEPRAA2165_RS00520				
F. prausnitzii	DOWN	FAEPRAA2165_RS00525	[K] Transcription	COG0640	KO:K03892	DNA-binding transcriptional regulator, ArsR family
F. prausnitzii	UP	FAEPRAA2165_RS00580				
F. prausnitzii	UP	FAEPRAA2165_RS00650	[G] Carbohydrate transport and metabolism	COG3250	KO:K01190	Beta-galactosidase/beta-glucuronidase
F. prausnitzii	UP	FAEPRAA2165_RS00835				
F. prausnitzii	UP	FAEPRAA2165_RS00845				
F. prausnitzii	UP	FAEPRAA2165_RS00850			KO:K06919	
F. prausnitzii	UP	FAEPRAA2165_RS00855				
F. prausnitzii	UP	FAEPRAA2165_RS00860				
F. prausnitzii	DOWN	FAEPRAA2165_RS00865				
F. prausnitzii	DOWN	FAEPRAA2165_RS00885	[S] Function unknown	COG0730	KO:K07090	Uncharacterized membrane protein YfcA
F. prausnitzii	DOWN	FAEPRAA2165_RS00890	[K] Transcription	COG1846		DNA-binding transcriptional regulator, MarR family
F. prausnitzii	UP	FAEPRAA2165_RS00980	[X] Mobilome: prophages, transposons	COG4679		Phage-related protein
F. prausnitzii	UP	FAEPRAA2165_RS00985				
F. prausnitzii	DOWN	FAEPRAA2165_RS01120				
F. prausnitzii	DOWN	FAEPRAA2165_RS01220				
F. prausnitzii	DOWN	FAEPRAA2165_RS01280				
F. prausnitzii	UP	FAEPRAA2165_RS01420				
F. prausnitzii	DOWN	FAEPRAA2165_RS01495				
F. prausnitzii	DOWN	FAEPRAA2165_RS01525	[E] Amino acid transport and metabolism	COG1171	KO:K01754	Threonine dehydratase
F. prausnitzii	UP	FAEPRAA2165_RS01600				
F. prausnitzii	DOWN	FAEPRAA2165_RS01660				
F. prausnitzii	DOWN	FAEPRAA2165_RS01670				
F. prausnitzii	UP	FAEPRAA2165_RS01720	[F] Nucleotide transport and metabolism	COG0152	KO:K01923	Phosphoribosylaminoimidazole-succinocarboxamide synthase
F. prausnitzii	DOWN	FAEPRAA2165_RS01870				
F. prausnitzii	UP	FAEPRAA2165_RS02085	[L] Replication, recombination and repair	COG4974		Site-specific recombinase XerD
F. prausnitzii	UP	FAEPRAA2165_RS02115				
F. prausnitzii	UP	FAEPRAA2165_RS02120				
F. prausnitzii	UP	FAEPRAA2165_RS02125				
F. prausnitzii	UP	FAEPRAA2165_RS02130	[L] Replication, recombination and repair	COG0389	KO:K02346	Nucleotidyltransferase/DNA polymerase involved in DNA repair
F. prausnitzii	UP	FAEPRAA2165_RS02135				
F. prausnitzii	UP	FAEPRAA2165_RS02140				
F. prausnitzii	DOWN	FAEPRAA2165_RS02635	[H] Coenzyme transport and metabolism	COG0352	KO:K00788	Thiamine monophosphate synthase
F. prausnitzii	DOWN	FAEPRAA2165_RS02700			KO:K04042	
F. prausnitzii	UP	FAEPRAA2165_RS03015	[G] Carbohydrate transport and metabolism	COG1299	KO:K02770	Phosphotransferase system, fructose-specific IIC component
F. prausnitzii	UP	FAEPRAA2165_RS03055	[M] Cell wall/membrane/envelope biogenesis	COG1210	KO:K00963	UTP-glucose-1-phosphate uridylyltransferase
F. prausnitzii	UP	FAEPRAA2165_RS03065				
F. prausnitzii	UP	FAEPRAA2165_RS03070			KO:K02040	
F. prausnitzii	UP	FAEPRAA2165_RS03080	[V] Defense mechanisms	COG4115	KO:K19158	Toxin component of the Txe-Axe toxin-antitoxin module, Txe/YoeB family
F. prausnitzii	UP	FAEPRAA2165_RS03085	[V] Defense mechanisms	COG3077	KO:K07473	Antitoxin component of the RelBE or YafQ-DinJ toxin-antitoxin module
F. prausnitzii	UP	FAEPRAA2165_RS03320	[L] Replication, recombination and repair	COG1961		Site-specific DNA recombinase related to the DNA invertase Pin
F. prausnitzii	UP	FAEPRAA2165_RS03375				
F. prausnitzii	UP	FAEPRAA2165_RS03380				
F. prausnitzii	UP	FAEPRAA2165_RS03385				
F. prausnitzii	UP	FAEPRAA2165_RS03920	[R] General function prediction only	COG1079	KO:K02057	ABC-type uncharacterized transport system, permease component
F. prausnitzii	UP	FAEPRAA2165_RS03925	[R] General function prediction only	COG4603	KO:K02057	ABC-type uncharacterized transport system, permease component
F. prausnitzii	UP	FAEPRAA2165_RS03935	[M] Cell wall/membrane/envelope biogenesis	COG1744	KO:K07335	Basic membrane lipoprotein Med, periplasmic binding protein (PBP1-ABC) superfamily
F. prausnitzii	UP	FAEPRAA2165_RS03945			KO:K07473	
F. prausnitzii	DOWN	FAEPRAA2165_RS04225				
F. prausnitzii	DOWN	FAEPRAA2165_RS04385	[P] Inorganic ion transport and metabolism	COG1918	KO:K04758	Fe2+ transport system protein FeoA
F. prausnitzii	DOWN	FAEPRAA2165_RS04390	[P] Inorganic ion transport and metabolism	COG1918	KO:K04758	Fe2+ transport system protein FeoA
F. prausnitzii	DOWN	FAEPRAA2165_RS04395				
F. prausnitzii	UP	FAEPRAA2165_RS04540	[E] Amino acid transport and metabolism	COG1113	KO:K03294	L-asparagine transporter and related permeases
F. prausnitzii	UP	FAEPRAA2165_RS04700				
F. prausnitzii	DOWN	FAEPRAA2165_RS04995				
F. prausnitzii	UP	FAEPRAA2165_RS05010	[S] Function unknown	COG4684		Uncharacterized membrane protein
F. prausnitzii	DOWN	FAEPRAA2165_RS05135	[V] Defense mechanisms	COG0534		Na+-driven multidrug efflux pump
F. prausnitzii	UP	FAEPRAA2165_RS05285				
F. prausnitzii	UP	FAEPRAA2165_RS05290	[C] Energy production and conversion	COG2414		Aldehyde:ferredoxin oxidoreductase
F. prausnitzii	UP	FAEPRAA2165_RS05295	[C] Energy production and conversion	COG0437		Fe-S-cluster-containing dehydrogenase component
F. prausnitzii	UP	FAEPRAA2165_RS05345				
F. prausnitzii	DOWN	FAEPRAA2165_RS05400	[H] Coenzyme transport and metabolism	COG3601		Riboflavin transporter FmnP
F. prausnitzii	DOWN	FAEPRAA2165_RS05560				
F. prausnitzii	DOWN	FAEPRAA2165_RS05605				
F. prausnitzii	UP	FAEPRAA2165_RS05670	[F] Nucleotide transport and metabolism	COG0041	KO:K01588	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase
F. prausnitzii	UP	FAEPRAA2165_RS05680	[F] Nucleotide transport and metabolism	COG0150	KO:K01933	Phosphoribosylaminoimidazole (AIR) synthetase
F. prausnitzii	UP	FAEPRAA2165_RS05685	[F] Nucleotide transport and metabolism	COG0299	KO:K11175	Folate-dependent phosphoribosylglycinamide formyltransferase PurN
F. prausnitzii	UP	FAEPRAA2165_RS05690	[F] Nucleotide transport and metabolism	COG3363		Archaeal IMP cyclohydrolase
F. prausnitzii	UP	FAEPRAA2165_RS05695			KO:K00602	
F. prausnitzii	UP	FAEPRAA2165_RS05700	[F] Nucleotide transport and metabolism	COG0151	KO:K01945	Phosphoribosylamine-glycine ligase
F. prausnitzii	UP	FAEPRAA2165_RS05710	[F] Nucleotide transport and metabolism	COG0015	KO:K01756	Adenylosuccinate lyase
F. prausnitzii	UP	FAEPRAA2165_RS05715	[J] Translation, ribosomal structure and biogenesis	COG1187	KO:K06183	16S rRNA U516 pseudouridylate synthase RsuA and related 23S rRNA U2605, pseudouridylate synthases
